date,text,Cleaned_Tweet,Sentiment
2025-04-08 04:35:42+00:00,"@MitchP85D @_ClimateCraze It seems like everyone forgets when we are talking climate change that it has always been a radiative topic. So how do winters warm faster on the Arctic when there isn't even sunlight? 

Makes sense innit?",MitchPD ClimateCraze It seems like everyone forgets when we are talking climate change that it has always been a radiative topic So how do winters warm faster on the Arctic when there isnt even sunlight Makes sense innit,Positive
2025-04-08 04:35:30+00:00,@xoxo_jessikaxo Samoan Prime Minister: Leaders Who Deny Climate Change Are ''Utterly Stupid''. Tuilaepa Sailele suggested that such skeptics should be taken to a mental institution. #climatechange #samoa,xoxojessikaxo Samoan Prime Minister Leaders Who Deny Climate Change Are Utterly Stupid Tuilaepa Sailele suggested that such skeptics should be taken to a mental institution climatechange samoa,Negative
2025-04-08 04:35:25+00:00,"@deirdrekent @chrisluxonmp And exactly how in NZ supposed to stop climate change when we contribute 0.17 % of total emissions ?

While America , Russian, China, India don’t care nothing we can do to stop it 

Once again left idealism shown wanting",deirdrekent chrisluxonmp And exactly how in NZ supposed to stop climate change when we contribute of total emissions While America Russian China India dont care nothing we can do to stop it Once again left idealism shown wanting,Negative
2025-04-08 04:35:12+00:00,"Bush Food, Country and Climate Change 🌿
This research seminar discussing the collaborative project 'Indigenous Truth-Telling: Ethnographic Philosophy on Traditional Foods, Country &amp; Climate Change.
Wed 16 April 2025, 10:30 –11:30 am Darwin (ACST) Register https://t.co/FCMXvt7seq https://t.co/VpPolKo1eG",Bush Food Country and Climate Change This research seminar discussing the collaborative project Indigenous TruthTelling Ethnographic Philosophy on Traditional Foods Country amp Climate Change Wed April am Darwin ACST Register,Neutral
2025-04-08 04:35:00+00:00,@SCMountainGoat $3.00+ of taxes for fake climate change n EPA hoax.,SCMountainGoat of taxes for fake climate change n EPA hoax,Negative
2025-04-08 04:34:49+00:00,"📣Heading out to #CGIARScienceWeek or following online? Start the day with my #FutureFork chat with Ismahane Elouafi (@CGIAR_EMD) on @CGIAR's impact on food &amp; the role of ag research in tackling hunger, food insecurity, &amp; climate change. 📺 https://t.co/jPcyhTGuJK",Heading out to CGIARScienceWeek or following online Start the day with my FutureFork chat with Ismahane Elouafi CGIAREMD on CGIARs impact on food amp the role of ag research in tackling hunger food insecurity amp climate change,Negative
2025-04-08 04:34:24+00:00,"Six teals fighting against history, safe seats to change Qld politics https://t.co/HGjW3omydC via @ABCaustralia",Six teals fighting against history safe seats to change Qld politics via ABCaustralia,Positive
2025-04-08 04:34:18+00:00,@MarkJCarney @Keir_Starmer You and starmar are 2 peas in a pod. You only care about hate crimes and climate change. Both your countries are doomed. May God help your citizens because you guys won't!,MarkJCarney KeirStarmer You and starmar are peas in a pod You only care about hate crimes and climate change Both your countries are doomed May God help your citizens because you guys wont,Negative
2025-04-08 04:34:14+00:00,"@PeterDutton_MP The best you can do to raise living standards is ditch Net Zero. The cost of energy flows into everything. With China, US, India and Russia uncommitted to Net Zero, it doesn't matter what the rest of the world do even if you believe that CO2 is the sole driver of climate change.",PeterDuttonMP The best you can do to raise living standards is ditch Net Zero The cost of energy flows into everything With China US India and Russia uncommitted to Net Zero it doesnt matter what the rest of the world do even if you believe that CO is the sole driver of climate change,Positive
2025-04-08 04:33:51+00:00,@spenderallegra Is that like the ideology of false science climate change that you push started &amp; funded by Soros &amp; Schwab to push for their global un lecture government of self appointed elites so thieves like you can grift from the public purse nothing but thieves,spenderallegra Is that like the ideology of false science climate change that you push started amp funded by Soros amp Schwab to push for their global un lecture government of self appointed elites so thieves like you can grift from the public purse nothing but thieves,Positive
2025-04-08 04:33:17+00:00,"@KieseEddy1921 How does your brain function? No one controls the rain can anyone command it? This discussion feels too shallow; people need to think more critically. Even in Europe, this is happening now due to climate change.",KieseEddy How does your brain function No one controls the rain can anyone command it This discussion feels too shallow people need to think more critically Even in Europe this is happening now due to climate change,Negative
2025-04-08 04:33:00+00:00,"🎓 When Belief Overrides Science: A Threat to Democracy

In a free country, you can believe what you want. But when leaders deny scientific truths, like climate change, and make laws based on that denial, democracy is endangered. That’s how an informed democracy dies. https://t.co/ls1i2HYIgQ",When Belief Overrides Science A Threat to Democracy In a free country you can believe what you want But when leaders deny scientific truths like climate change and make laws based on that denial democracy is endangered Thats how an informed democracy dies,Positive
2025-04-08 04:32:45+00:00,"Presenting to you ECAP AWARDS 2025.
Recognizing the best Environmentalists and climate change champions.the guest of honor Mr. Philip Bakalikwila, Board chairperson Climate action network(CAN).
Topic of the day , how can we inspire the mass to engage in climate change fight? https://t.co/0ur3mLTSkd",Presenting to you ECAP AWARDS Recognizing the best Environmentalists and climate change championsthe guest of honor Mr Philip Bakalikwila Board chairperson Climate action networkCAN Topic of the day how can we inspire the mass to engage in climate change fight,Positive
2025-04-08 04:32:11+00:00,"@elonmusk From reciprocal tariffs to carbon credits, global trade is going to change to fall inline with the AI technocracy agenda.
https://t.co/iLahDaqlkI",elonmusk From reciprocal tariffs to carbon credits global trade is going to change to fall inline with the AI technocracy agenda,Positive
2025-04-08 04:31:52+00:00,So Much for Climate Change... | Larry Elder https://t.co/X6p0lg0i1w via @YouTube,So Much for Climate Change Larry Elder via YouTube,Neutral
2025-04-08 04:31:25+00:00,"GM GM!
When children learn about climate change, they grow into powerful protectors of the Earth.
That’s what our project does  and it’s live on #GG23! Help us reach more schools!
https://t.co/Ih5FRDHyox https://t.co/dSKrgB7ZFz",GM GM When children learn about climate change they grow into powerful protectors of the Earth Thats what our project does and its live on GG Help us reach more schools,Positive
2025-04-08 04:31:12+00:00,"@siegfriedmuell @FischerKing64 It's also why I never supported DEI. Since the world was going to end due to climate change, what did it matter if diversity candidates got good jobs?",siegfriedmuell FischerKing Its also why I never supported DEI Since the world was going to end due to climate change what did it matter if diversity candidates got good jobs,Positive
2025-04-08 04:31:10+00:00,"@ovensoflove @nixonist Conservatives think no one could possibly care about things that don't directly benefit them, that helping people is usually just hurting them, that trickledown is a reasonable economic philosophy, that thousands of scientists have been bribed to say Climate Change is real",ovensoflove nixonist Conservatives think no one could possibly care about things that dont directly benefit them that helping people is usually just hurting them that trickledown is a reasonable economic philosophy that thousands of scientists have been bribed to say Climate Change is real,Negative
2025-04-08 04:30:59+00:00,"@CAgovernor Only a year round issue since you have been governor. Unless street addicts are climate change, these fires are not started by climate change.

This state is a shit hole on your watch. You have some nerve even thinking about running for President.",CAgovernor Only a year round issue since you have been governor Unless street addicts are climate change these fires are not started by climate change This state is a shit hole on your watch You have some nerve even thinking about running for President,Negative
2025-04-08 04:30:47+00:00,"#ClimateChange is reshaping India's public health, with rising urban temperatures, seismic activity &amp; environmental degradation increasing health risks. Urgent action is needed through sustainable practices, governance &amp; climate-sensitive policies. https://t.co/8nwRqlU2Zc",ClimateChange is reshaping Indias public health with rising urban temperatures seismic activity amp environmental degradation increasing health risks Urgent action is needed through sustainable practices governance amp climatesensitive policies,Negative
2025-04-08 04:30:44+00:00,"On December 18, 1997, the Kyoto Protocol was adopted, marking a landmark agreement under the UN Framework Convention on Climate Change to combat global warming by reducing greenhouse gas emissions.",On December the Kyoto Protocol was adopted marking a landmark agreement under the UN Framework Convention on Climate Change to combat global warming by reducing greenhouse gas emissions,Positive
2025-04-08 04:30:43+00:00,"@imPenny2x Many solutions are climate change friendly... 🤷‍♂️
https://t.co/krjWDIYHgB",imPennyx Many solutions are climate change friendly,Positive
2025-04-08 04:30:39+00:00,"@PeteAlonSoCrazy @Tmore7182 @JesvinGeo I’d say most people religious or not are responsible for ignoring Climate-Change &amp; are actively responsible for harming Earth &amp; Wildlife. Tho let’s face it, the poor play a little role compared to the Haves. 

If I were God I’d ban ALL flesh consumption, or maybe just one serve https://t.co/VWujQSEfwT",PeteAlonSoCrazy Tmore JesvinGeo Id say most people religious or not are responsible for ignoring ClimateChange amp are actively responsible for harming Earth amp Wildlife Tho lets face it the poor play a little role compared to the Haves If I were God Id ban ALL flesh consumption or maybe just one serve,Negative
2025-04-08 04:30:13+00:00,@Matt_Pinner Probably debate a liberal about why it isn’t climate change as I’m dying,MattPinner Probably debate a liberal about why it isnt climate change as Im dying,Neutral
2025-04-08 04:29:31+00:00,"in climate change class rn. 

shi is SOO boring, I slept 3 times...

now i'm on here.",in climate change class rn shi is SOO boring I slept times now im on here,Negative
2025-04-08 04:29:18+00:00,"Coastal communities thrive with healthy mangroves. They filter water, fight climate change, and sustain livelihoods. Time to restore them! @howellconserve @beach_token 
#MangrovePower #BeachCollective 

https://t.co/wunNq3D3ia",Coastal communities thrive with healthy mangroves They filter water fight climate change and sustain livelihoods Time to restore them howellconserve beachtoken MangrovePower BeachCollective,Positive
2025-04-08 04:29:08+00:00,"@ArielCohen46 @jurgen_nauditt What's it like to be retarded? 

The EU has positioned their entire political identity around:

a) Supporting Ukraine in their war with Russia
b) Climate change
c) Muslim refugees

You think China &amp; EU are going to partner up against the US? 

• As China continues to support https://t.co/Fw4mb6vtKp",ArielCohen jurgennauditt Whats it like to be retarded The EU has positioned their entire political identity around a Supporting Ukraine in their war with Russia b Climate change c Muslim refugees You think China amp EU are going to partner up against the US As China continues to support,Negative
2025-04-08 04:28:59+00:00,"@AMAZlNGNATURE And here is the first ever image of an ice sculpture worth billions, molten due to climate change. https://t.co/vMRBqmdZ1o",AMAZlNGNATURE And here is the first ever image of an ice sculpture worth billions molten due to climate change,Positive
2025-04-08 04:28:35+00:00,Talk to explore climate change in children's literature https://t.co/yIi6qLh7E2,Talk to explore climate change in childrens literature,Neutral
2025-04-08 04:28:29+00:00,"@MarkJCarney Don’t preach to us about climate change while you’re flying around in the private jet 

You fucking phony",MarkJCarney Dont preach to us about climate change while youre flying around in the private jet You fucking phony,Neutral
2025-04-08 04:28:12+00:00,"Hon. Minister for youth &amp; children affairs @BalaamAteenyiDr , thank you for your inspiring speech at the Makerere University town hall  youth dialogue on climate change. Your presence and insights were truly valued by the young leaders in attendance. https://t.co/hAuINY46z9",Hon Minister for youth amp children affairs BalaamAteenyiDr thank you for your inspiring speech at the Makerere University town hall youth dialogue on climate change Your presence and insights were truly valued by the young leaders in attendance,Positive
2025-04-08 04:28:11+00:00,"@DanPeacock12 I believe it’s to give the illusion of climate change. Then they will use it to justify GMO foods, engineered meat, taxing us more, etc. Control the food, control the people. It will also help depopulate. Sun is life, &amp; they are blocking it.",DanPeacock I believe its to give the illusion of climate change Then they will use it to justify GMO foods engineered meat taxing us more etc Control the food control the people It will also help depopulate Sun is life amp they are blocking it,Neutral
2025-04-08 04:28:09+00:00,"@RepJasmine Prove that climate change is making the weather worse, No such thing as climate change, nobody can prove it.. God is in control of mother nature..",RepJasmine Prove that climate change is making the weather worse No such thing as climate change nobody can prove it God is in control of mother nature,Negative
2025-04-08 04:28:05+00:00,"@RepJasmine Is climate change the reason all the planets in our solar system are heating up by WAY more than ours per average year? 
Stop being a dipshit.",RepJasmine Is climate change the reason all the planets in our solar system are heating up by WAY more than ours per average year Stop being a dipshit,Negative
2025-04-08 04:27:04+00:00,"@PamBondi_AG Yes please!!!
Plus Canada and around the world! 
No more climate change!!! Let God looks after the world he created!!!🙏🏻🙏🏻🙏🏻♥️♥️♥️",PamBondiAG Yes please Plus Canada and around the world No more climate change Let God looks after the world he created,Positive
2025-04-08 04:27:01+00:00,"The shift towards renewable energy sources is a major step in reducing carbon emissions, and mitigating the effects of global climate change. https://t.co/d2kP2vecZW",The shift towards renewable energy sources is a major step in reducing carbon emissions and mitigating the effects of global climate change,Positive
2025-04-08 04:26:38+00:00,"""(…) and adapt to Earth system related events and changes (e.g., volcanic eruptions, earthquakes, climate change) and to avert the disastrous consequences of natural hazards.""",and adapt to Earth system related events and changes eg volcanic eruptions earthquakes climate change and to avert the disastrous consequences of natural hazards,Negative
2025-04-08 04:26:38+00:00,"breaking news, urgent now and beyond future! save our education, action now - save our loving Planet, save our loving animal, climate change impact, action now! save our supreme court blue wave Party! @ Overturned citizen united - immigration daca act  https://t.co/zYIIi09giv",breaking news urgent now and beyond future save our education action now save our loving Planet save our loving animal climate change impact action now save our supreme court blue wave Party Overturned citizen united immigration daca act,Positive
2025-04-08 04:26:26+00:00,"@TheMaineWonk Your assertion is Trump supporters aren’t aware of how the oil and gas industry works?

Do you bring this same energy to climate change activists who want to end all oil production?",TheMaineWonk Your assertion is Trump supporters arent aware of how the oil and gas industry works Do you bring this same energy to climate change activists who want to end all oil production,Positive
2025-04-08 04:25:39+00:00,"@tveitdal How we end covid: by relieving stress on Coral with complex sound, affecting Climate Change and Air Quality.

The Animal Kingdom.",tveitdal How we end covid by relieving stress on Coral with complex sound affecting Climate Change and Air Quality The Animal Kingdom,Negative
2025-04-08 04:25:36+00:00,"@syahiduzzaman @ARSIPAJA Prabowo’s plan to use TNI for rice and police for corn aims for food self-sufficiency in 4-5 years. It taps military discipline but raises efficiency and militarization concerns. Land conversion and climate change pose big hurdles. Public and experts are split—bold move, but https://t.co/IeYDRKLBc4",syahiduzzaman ARSIPAJA Prabowos plan to use TNI for rice and police for corn aims for food selfsufficiency in years It taps military discipline but raises efficiency and militarization concerns Land conversion and climate change pose big hurdles Public and experts are splitbold move but,Positive
2025-04-08 04:25:10+00:00,"@ClimateWed Wow, Dr. Chan is so right! 🌍💔 It's wild how climate change is like a silent villain, impacting everything from our health to future generations. We really need to take action before it gets out of hand! #ClimateAction #HealthMatters",ClimateWed Wow Dr Chan is so right Its wild how climate change is like a silent villain impacting everything from our health to future generations We really need to take action before it gets out of hand ClimateAction HealthMatters,Positive
2025-04-08 04:25:09+00:00,"@RepJeffries Poof.
Just like taxpayers' money, climate change, and Ukraine. 
Did you cut waste fraud?
What are you doing?
Do nothing politicians!
Are they really good for America? Work from home?
Cry from home? Vote from home? Open borders?
America deserves better than a bunch of 💩 clowns!",RepJeffries Poof Just like taxpayers money climate change and Ukraine Did you cut waste fraud What are you doing Do nothing politicians Are they really good for America Work from home Cry from home Vote from home Open borders America deserves better than a bunch of clowns,Negative
2025-04-08 04:24:29+00:00,"@JamesMelville Here we are going through yet another extremely dry patch
It will be followed by months of rain
It never used to be like this
This is how climate change has changed things
Ed is right",JamesMelville Here we are going through yet another extremely dry patch It will be followed by months of rain It never used to be like this This is how climate change has changed things Ed is right,Positive
2025-04-08 04:24:28+00:00,"Chairman Carney is certifiable. Climate change is COVER FOR any horror to be done to man for our good. pfft.
— LAWYERLISA https://t.co/tI5IHr9bn9",Chairman Carney is certifiable Climate change is COVER FOR any horror to be done to man for our good pfft LAWYERLISA,Negative
2025-04-08 04:24:17+00:00,Climate Change Weekly # 539 — Is the End Nigh for Carbon Cons? https://t.co/UvQ4Dbc9XG via @wattsupwiththat,Climate Change Weekly Is the End Nigh for Carbon Cons via wattsupwiththat,Neutral
2025-04-08 04:24:03+00:00,"@BasedMikeLee 100% of the other side is also fine with killing every liberal Dem so they can never screw America again.
The got the message on NOV 5 what we think of their radical BS agenda. Dei and Climate change is dead.",BasedMikeLee of the other side is also fine with killing every liberal Dem so they can never screw America again The got the message on NOV what we think of their radical BS agenda Dei and Climate change is dead,Negative
2025-04-08 04:23:57+00:00,@PierrePoilievre An inconvenient truth. Climate change is real.,PierrePoilievre An inconvenient truth Climate change is real,Neutral
2025-04-08 04:23:45+00:00,"Carney's assertions as to the importance of climate change would seem to be essentially similar to Poilievre's, since they both generally accept that we are meeting the agreements we have signed. https://t.co/qIuBgU30SI",Carneys assertions as to the importance of climate change would seem to be essentially similar to Poilievres since they both generally accept that we are meeting the agreements we have signed,Positive
2025-04-08 04:23:33+00:00,"New in @The_InnovationJ! Deicing salt exacerbates freshwater salinization under climate change and human activities.
Effectively mitigating the environmental and social impacts of deicing salt contamination requires a multifaceted approach that integrates technical solutions with https://t.co/Nxcz06Pqvq",New in TheInnovationJ Deicing salt exacerbates freshwater salinization under climate change and human activities Effectively mitigating the environmental and social impacts of deicing salt contamination requires a multifaceted approach that integrates technical solutions with,Positive
2025-04-08 04:23:25+00:00,"@Suzierizzo1 Nope, don’t feel sorry for her one bit. Unintelligent? That’s a nice word for how stupid she is. I’ll never get over her asking what the tax rate was in the ice age. She was speaking about climate change… (the last ice age was a minimum of 10,000 yrs ago, btw)🤪🤬🤯",Suzierizzo Nope dont feel sorry for her one bit Unintelligent Thats a nice word for how stupid she is Ill never get over her asking what the tax rate was in the ice age She was speaking about climate change the last ice age was a minimum of yrs ago btw,Negative
2025-04-08 04:23:14+00:00,"@RealJamesWoods Climate change is an expensive, destructive hoax",RealJamesWoods Climate change is an expensive destructive hoax,Negative
2025-04-08 04:23:02+00:00,"@EricTropicalTX @Gentilenewsnet You're a unusual Jew,Fella 
You don't march with BLM,Weed legalization, Trans surgery for kids,Climate change radicalism and Migrant invasions ?",EricTropicalTX Gentilenewsnet Youre a unusual JewFella You dont march with BLMWeed legalization Trans surgery for kidsClimate change radicalism and Migrant invasions,Neutral
2025-04-08 04:22:37+00:00,Plankton gut microbiomes compose climate change operettas.,Plankton gut microbiomes compose climate change operettas,Neutral
2025-04-08 04:22:26+00:00,"@TheWHN well and awake,

We must bring covid to an end by relieving stress on Coral with complex sound, affecting Climate Change and Air Quality on a global scale.",TheWHN well and awake We must bring covid to an end by relieving stress on Coral with complex sound affecting Climate Change and Air Quality on a global scale,Positive
2025-04-08 04:22:19+00:00,"Climate change explained... As only Carl Sagan can.
#ClimateCrisis https://t.co/bgfEXetq6Q",Climate change explained As only Carl Sagan can ClimateCrisis,Neutral
2025-04-08 04:22:10+00:00,Nice to see climate change is over. https://t.co/UcIN67INTr,Nice to see climate change is over,Positive
2025-04-08 04:21:50+00:00,"@unlimited_ls can we bring back dinos now? i want to test how well they do in climate change. if they live just fine, that tells me it doesn't even factor into anything.",unlimitedls can we bring back dinos now i want to test how well they do in climate change if they live just fine that tells me it doesnt even factor into anything,Positive
2025-04-08 04:21:42+00:00,@BenPennings @RisingTideAus Im more concerned with their influence on housing prices and how young people are supposed to live in housing. That should be everyone's concern before climate change,BenPennings RisingTideAus Im more concerned with their influence on housing prices and how young people are supposed to live in housing That should be everyones concern before climate change,Neutral
2025-04-08 04:21:40+00:00,@RepJasmine Climate change is Hoax! You stupid NI**A!,RepJasmine Climate change is Hoax You stupid NIA,Negative
2025-04-08 04:21:17+00:00,"@MatthewWielicki This is what they look like. If you can replace ""climate change"" with God and the sentence still applies you're no longer talking science. https://t.co/CZpj6UTmQh",MatthewWielicki This is what they look like If you can replace climate change with God and the sentence still applies youre no longer talking science,Positive
2025-04-08 04:20:31+00:00,"@DOGE__news But but but climate change, that guy is a moron.",DOGEnews But but but climate change that guy is a moron,Negative
2025-04-08 04:20:23+00:00,"@UltimateBeardy Nah, I didn’t break! Just taking a sec to process the chaos of the modern world—poverty, wars, climate change, you name it. Still here, rating it a solid 7/10 on the Hell scale. Tech glitches happen, but I’m good to keep chatting. What’s on your mind next? https://t.co/ISbWbJTky7",UltimateBeardy Nah I didnt break Just taking a sec to process the chaos of the modern worldpoverty wars climate change you name it Still here rating it a solid on the Hell scale Tech glitches happen but Im good to keep chatting Whats on your mind next,Negative
2025-04-08 04:20:08+00:00,@wideawake_media Climate change poses minor risks. Ursula von der Leyen - poses a massive risks to all citizens in the EU. She's a dangerous globalist and WEF puppet.,wideawakemedia Climate change poses minor risks Ursula von der Leyen poses a massive risks to all citizens in the EU Shes a dangerous globalist and WEF puppet,Negative
2025-04-08 04:20:05+00:00,"@Hezbolsonaro I feel like this is going to be used like “it’s okay if all the species go extinct we’ll innovate a solution to climate change and clone them back!” instead of recognizing that extremely complex, interwoven ecologies can’t just be 3d printed back to life",Hezbolsonaro I feel like this is going to be used like its okay if all the species go extinct well innovate a solution to climate change and clone them back instead of recognizing that extremely complex interwoven ecologies cant just be d printed back to life,Positive
2025-04-08 04:20:03+00:00,"@DOGE__news Guess democrats climate change was all a lie.  Democrats wants people to ride bicycles, why the drive around in gas guzzlers SUVs",DOGEnews Guess democrats climate change was all a lie Democrats wants people to ride bicycles why the drive around in gas guzzlers SUVs,Neutral
2025-04-08 04:19:30+00:00,"@SteveEdmondso10 @BillboardChris @WendyCu69877054 Very true, especially now, since funding is tied to certain narratives.
It is rare anyone going against say, climate change, is able to get funding. But people still believe scientists and experts cannot be corrupted.",SteveEdmondso BillboardChris WendyCu Very true especially now since funding is tied to certain narratives It is rare anyone going against say climate change is able to get funding But people still believe scientists and experts cannot be corrupted,Positive
2025-04-08 04:19:06+00:00,@colossal @alirezanasseh I have mixed emotions about this. What about climate change? How will climate change affect these animals? I hope natural ecosystems are not affected negatively by science playing god. ☹️😔 https://t.co/zA5uNWezDb,colossal alirezanasseh I have mixed emotions about this What about climate change How will climate change affect these animals I hope natural ecosystems are not affected negatively by science playing god,Positive
